,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date,Adj Temp,Elevation (ft)
0,Kapaa,US,22.08,-159.32,5.70594596862793,82.04,84,9.17,75,1538013360,82.10552103520101,18.720295771713257
1,Faanui,PF,-16.48,-151.75,35.43472671508789,78.63,100,14.81,20,1538015865,79.03689484078575,116.25566879592895
2,Adrar,DZ,27.87,-0.29,255.7840728759766,80.6,36,21.92,0,1538013600,83.53715316179046,839.186617654419
3,Yellowknife,CA,62.45,-114.38,199.0788269042969,30.2,54,16.11,90,1538013600,32.48601022461243,653.1457784606935
4,Albany,AU,-35.02,117.88,45.38935852050781,57.21,75,8.21,32,1538015866,57.73120328052948,148.91522300842286
5,Nuuk,GL,64.17,-51.74,1,33.8,100,3.36,92,1538013000,33.81148294,3.28084
6,Punta Arenas,CL,-53.16,-70.91,19.48355484008789,33.8,80,8.05,0,1538013600,34.02372849121544,63.922426061553956
7,Cockburn Town,TC,21.46,-71.14,6.052376270294189,82.32,100,18.5,48,1538015866,82.38949907356921,19.856878162631986
8,Carnarvon,AU,-24.87,113.63,0,70.71,73,18.72,0,1538015866,70.71,0.0
9,Ribeira Grande,PT,38.52,-28.7,8.446471214294434,75.03,95,23.64,68,1538015867,75.12699032216547,27.711520618705748
10,Buala,SB,-8.15,159.59,146.3001708984375,79.89,99,14.92,88,1538015867,81.5699560844165,479.9874526904297
11,Saskylakh,RU,71.97,114.09,65.09505462646484,29.76,94,11.23,0,1538015867,30.50748260657242,213.56645902069093
12,Vestmannaeyjar,IS,63.44,-20.27,8.410666465759277,40.83,100,8.99,44,1538015868,40.926579178386326,27.594050967521667
13,Tiarei,PF,-17.53,-149.33,-97.38153839111328,78.8,61,4.7,75,1538013600,77.68177363754715,-319.4932464151001
14,Victoria,SC,-4.62,55.45,10.16719436645508,78.8,78,14.99,75,1538013600,78.91674928287834,33.35693796524048
15,Upington,ZA,-28.46,21.24,804.8720703125,48.2,39,4.7,0,1538013600,57.442297691074224,2640.6564831640626
16,Atuona,PF,-9.8,-139.03,18.34078025817871,79.26,100,9.78,0,1538015823,79.47060607925786,60.173165502243045
17,Richards Bay,ZA,-28.77,32.06,6.4939284324646,65.76,87,2.84,64,1538015869,65.8345693905543,21.305540158367158
18,Cherskiy,RU,68.75,161.3,1,37.68,72,4.85,76,1538015849,37.69148294,3.28084
19,Barrow,US,39.51,-90.4,199.1559295654297,60.98,75,3.36,1,1538014500,63.266895589844054,653.3987399554443
20,Gimli,CA,50.63,-96.99,219,38.31,100,2.95,24,1538015604,40.824763860000004,718.50396
21,Antalya,TR,36.9,30.69,55.11103820800781,69.8,46,9.17,0,1538013000,70.43283674508025,180.81049859436035
22,Iqaluit,CA,63.75,-68.52,28.18400001525879,32,100,12.75,40,1538013600,32.32363518113522,92.46719461006164
23,Ongandjera,NA,-17.88,15.07,1104.721801757812,64.05,38,9.78,0,1538015870,76.73545416627685,3624.4154760791002
