,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date,Adj Temp
0,Srandakan,ID,-7.94,110.25,23.20000076,71.26,92,3.76,64,1538009571,70.99359578
1,Saint-Philippe,RE,-21.36,55.77,29.17001724,69.8,59,2.24,0,1538006400,69.46504244
2,Forbes,AU,-33.38,148.01,241.7031097,58.39,84,9.46,0,1538009575,55.61453769
3,Vila Franca Do Campo,PT,37.72,-25.43,32.08849335,73.4,83,13.87,20,1538008200,73.03152976
4,Fortuna,US,40.6,-124.16,25.87536621,53.6,87,8.05,20,1538008740,53.30287472
5,Arraial Do Cabo,BR,-22.97,-42.02,8.566552162,75.49,82,26.35,0,1538009575,75.3916308
6,Rikitea,PF,-23.12,-134.97,10.88686657,71.26,100,23.33,64,1538009576,71.13498676
7,Nikolskoye,RU,59.7,30.79,25.57333374,48.2,70,11.18,75,1538006400,47.90634294
8,Chervone,UA,47.83,37.79,146.6746674,33.19,81,3.65,0,1538009576,31.5057436
9,Dikson,RU,73.51,80.55,40.833992,39.76,96,21.54,92,1538009577,39.29110572
10,Chokurdakh,RU,70.62,147.9,30.18990135,35.8,92,14.27,92,1538009577,35.45333117
11,Narsaq,GL,60.91,-46.05,1.743739247,35.6,64,4.7,75,1538005800,35.57997675
12,Fairbanks,US,64.84,-147.72,135.485672,51.08,61,10.29,90,1538006280,49.52422616
13,San Patricio,MX,19.22,-104.7,0.967774808,76.57,100,1.63,48,1538009578,76.5588871
14,Muli,MV,2.92,73.57,0,78.91,100,17.63,88,1538009578,78.91
15,Harper,LR,4.38,-7.71,9.74244976,78.19,100,11.81,92,1538009578,78.07812803
16,Pisco,PE,-13.71,-76.2,22,64.4,77,13.87,90,1538006400,64.14737532
17,Chapais,CA,49.78,-74.86,394.9442749,39.2,86,9.17,90,1538008260,34.66487859
18,Victoria,SC,-4.62,55.45,10.16719437,77,88,14.99,36,1538006400,76.88325072
19,Affery,CI,6.32,-3.95,111.722908,73.42,99,2.75,92,1538009579,72.13709255
20,Albany,AU,-35.02,117.88,45.38935852,53.17,91,6.78,92,1538009580,52.64879672
21,Sinnamary,GF,5.38,-52.96,4.192888737,82.42,95,17.29,8,1538009580,82.37185331
22,Georgetown,SH,-7.93,-14.42,1.622661471,75.58,100,18.07,48,1538009581,75.56136708
23,Lorengau,PG,-2.02,147.27,0.95097363,84.4,99,5.1,8,1538009581,84.38908003
24,Luwuk,ID,-0.95,122.79,10.82311153,79.45,88,6.67,12,1538009351,79.32571886
25,Ushuaia,AR,-54.81,-68.31,0.55449599,41,44,3.36,0,1538006400,40.99363276
26,Punta Arenas,CL,-53.16,-70.91,19.48355484,37.4,74,6.93,0,1538006400,37.17627151
27,Leningradskiy,RU,69.38,178.42,7.491461754,40.39,97,15.39,32,1538009582,40.30397599
28,Vestmannaeyjar,IS,63.44,-20.27,8.410666466,40.93,100,7.9,88,1538009582,40.83342082
29,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,14.35999966,74.86,91,7.78,92,1538009582,74.69510499
30,Bonaventure,CA,48.04,-65.49,0,69.8,88,14.99,90,1538008680,69.8
31,Ribeira Grande,PT,38.52,-28.7,8.446471214,74.86,96,25.57,88,1538009583,74.76300968
32,Namibe,AO,-15.19,12.15,5.844017982,65.77,99,6.44,0,1538009583,65.70289349
33,Torbay,CA,47.66,-52.73,0,44.6,87,9.17,75,1538006400,44.6
34,Governador Valadares,BR,-18.85,-41.95,172,77.02,48,11.59,8,1538009294,75.04493432
35,Ilulissat,GL,69.22,-51.1,15.22115135,32,100,10.29,68,1538005800,31.82521643
36,Port Alfred,ZA,-33.59,26.89,19.96259117,63.16,94,13.49,0,1538009586,62.93077076
37,Port Macquarie,AU,-31.43,152.91,12.15656567,64.4,59,4.7,40,1538006400,64.26040689
38,Avarua,CK,-21.21,-159.78,19.53422928,82.4,74,8.05,75,1538006400,82.17568962
39,Salalah,OM,17.01,54.1,8.392000198,73.4,73,4.7,0,1538005800,73.30363517
40,Souillac,MU,-20.52,57.52,1.489344001,71.6,73,11.41,20,1538006400,71.58289795
41,Butaritari,KI,3.07,172.79,8.440905571,83.59,100,4.88,0,1538009589,83.49307359
42,Geraldton,AU,-28.77,114.6,0,57.2,67,10.29,0,1538008200,57.2
43,Novomalorossiyskaya,RU,45.63,39.89,38.0345726,40.75,80,5.66,0,1538009589,40.31325128
44,Bathsheba,BB,13.22,-59.52,-0.097758673,82.4,78,18.34,20,1538006400,82.40112256
45,Cockburn Town,TC,21.46,-71.14,6.05237627,82.6,100,18.07,12,1538009590,82.53050093
46,Alofi,NU,-19.06,-169.92,63.18806839,80.6,65,12.75,40,1538006400,79.8744152
47,Kavieng,PG,-2.57,150.8,12.33244419,86.29,96,10.69,0,1538009591,86.14838728
48,Qaanaaq,GL,77.48,-69.36,3.892444372,19.15,100,8.01,36,1538009591,19.10530329
49,Eydhafushi,MV,5.1,73.07,0,81.79,100,14.72,88,1538009591,81.79
50,Richards Bay,ZA,-28.77,32.06,6.493928432,65.5,88,0.74,92,1538009593,65.42543061
51,Veracruz,MX,24.02,-103.93,2026.577271,71.6,56,9.17,90,1538003700,48.3289348
52,Tura,RU,64.27,100.22,199.5959778,35.08,86,4.76,80,1538009594,32.78805136
53,Tuktoyaktuk,CA,69.44,-133.03,0,30.2,74,16.11,75,1538006400,30.2
54,San Diego De Los Banos,CU,22.65,-83.37,81.46759033,83.14,73,5.66,68,1538009595,82.20451255
55,Vaini,TO,-21.2,-175.2,20,78.8,69,8.05,40,1538006400,78.5703412
56,Hilo,US,19.71,-155.08,16.21504974,89.96,63,16.11,75,1538007120,89.77380356
57,Busselton,AU,-33.64,115.35,0,55.42,100,8.79,44,1538009596,55.42
58,Marabba,SD,12.35,32.18,401.0131531,75.4,71,3.76,0,1538009596,70.79519002
59,Kununurra,AU,-15.77,128.74,50.72711182,84.2,54,5.82,90,1538008200,83.61750362
60,Wanaka,NZ,-44.7,169.14,304.5759888,47.14,50,2.86,20,1538009597,43.6425722
61,Tautira,PF,-17.73,-149.15,-324.5338135,80.6,57,4.7,75,1538008200,84.32660231
62,Puerto Ayora,EC,-0.74,-90.35,39.42396927,75.2,69,17.22,0,1538006400,74.74729693
63,Lebu,CL,-37.62,-73.65,183.1880493,53.8,95,12.03,92,1538009598,51.69646262
64,Vanimo,PG,-2.67,141.3,11.00224018,83.14,100,7.23,0,1538009598,83.01366194
65,Gijon,ES,43.54,-5.66,12.2339325,64.4,82,3.36,0,1538008200,64.25951849
66,Tiksi,RU,71.64,128.87,33.85548782,32.47,97,11.25,88,1538009598,32.08123946
67,Ambilobe,MG,-13.19,49.05,33.75999832,70.81,68,14.05,0,1538009599,70.42233596
68,Sept-Iles,CA,50.2,-66.38,1,53.6,93,6.93,90,1538007960,53.58851706
69,Dhidhdhoo,MV,6.88,73.1,-0.614018798,80.08,100,8.79,24,1538009599,80.08705074
