,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date
0,Rikitea,PF,-23.12,-134.97,10.88686656951904,71.75,100,24.07,36,1537991553
1,Sibolga,ID,1.74,98.78,7.198222160339355,68.24,100,1.7,24,1537991715
2,Baculin,PH,7.45,126.58,24.57539176940918,77.96,90,9.64,0,1537991715
3,Yerbogachen,RU,61.28,108.01,284.4799499511719,44.3,96,3.15,88,1537991715
4,Qaanaaq,GL,77.48,-69.36,3.892444372177124,19.1,100,6.96,24,1537991716
5,Ponta Delgada,PT,37.73,-25.67,0,73.4,78,18.34,20,1537990200
6,Coahuayana,MX,18.62,-100.35,943.9855346679688,75.71,82,2.93,36,1537991716
7,Ixtapa,MX,20.71,-105.21,31.81302070617676,89.6,66,8.05,75,1537987440
8,Souillac,MU,-20.52,57.52,1.489344000816345,73.4,69,11.41,20,1537988400
9,Butaritari,KI,3.07,172.79,8.440905570983887,83.36,100,4.27,0,1537991560
10,Soyo,AO,-6.13,12.37,1.594774127006531,73.64,85,6.06,0,1537991717
11,Garissa,KE,-0.46,39.64,143.0213317871094,75.26,74,16.35,92,1537991718
12,Caravelas,BR,-17.73,-39.27,0,76.7,100,15.46,8,1537991718
13,Albany,AU,-35.02,117.88,45.38935852050781,51.86,94,3.83,92,1537991718
14,Glendive,US,47.11,-104.71,632.8009033203125,64.04,35,23.04,1,1537988160
15,Bowen,AU,-20.01,148.25,3.288888931274414,59,87,12.66,40,1537988400
16,Semnan,IR,35.58,53.39,1157.615112304688,58.7,58,3.83,0,1537991719
17,Barrow,US,39.51,-90.4,199.1559295654297,68,37,10.29,1,1537990500
18,Thompson,CA,55.74,-97.86,205.96533203125,41,56,4.7,75,1537988400
19,Kaitangata,NZ,-46.28,169.85,15,45.74,88,12.66,56,1537991720
20,Kirovsk,RU,67.62,33.66,327.3135681152344,37.19,99,2.48,88,1537991720
21,Xiongyue,CN,40.18,122.12,17.08901023864746,39.17,80,2.59,0,1537991721
22,Nizwa,OM,22.93,57.53,517.994140625,70.49,45,2.93,0,1537991693
