,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date
0,Kapaa,US,22.08,-159.32,5.70594596862793,82.04,84,9.17,75,1538013360
1,Faanui,PF,-16.48,-151.75,35.43472671508789,78.63,100,14.81,20,1538015865
2,Adrar,DZ,27.87,-0.29,255.7840728759766,80.6,36,21.92,0,1538013600
3,Yellowknife,CA,62.45,-114.38,199.0788269042969,30.2,54,16.11,90,1538013600
4,Albany,AU,-35.02,117.88,45.38935852050781,57.21,75,8.21,32,1538015866
5,Nuuk,GL,64.17,-51.74,1,33.8,100,3.36,92,1538013000
6,Punta Arenas,CL,-53.16,-70.91,19.48355484008789,33.8,80,8.05,0,1538013600
7,Cockburn Town,TC,21.46,-71.14,6.052376270294189,82.32,100,18.5,48,1538015866
8,Carnarvon,AU,-24.87,113.63,0,70.71,73,18.72,0,1538015866
9,Ribeira Grande,PT,38.52,-28.7,8.446471214294434,75.03,95,23.64,68,1538015867
10,Buala,SB,-8.15,159.59,146.3001708984375,79.89,99,14.92,88,1538015867
11,Saskylakh,RU,71.97,114.09,65.09505462646484,29.76,94,11.23,0,1538015867
12,Vestmannaeyjar,IS,63.44,-20.27,8.410666465759277,40.83,100,8.99,44,1538015868
13,Tiarei,PF,-17.53,-149.33,-97.38153839111328,78.8,61,4.7,75,1538013600
14,Victoria,SC,-4.62,55.45,10.16719436645508,78.8,78,14.99,75,1538013600
15,Upington,ZA,-28.46,21.24,804.8720703125,48.2,39,4.7,0,1538013600
16,Atuona,PF,-9.8,-139.03,18.34078025817871,79.26,100,9.78,0,1538015823
17,Richards Bay,ZA,-28.77,32.06,6.4939284324646,65.76,87,2.84,64,1538015869
18,Cherskiy,RU,68.75,161.3,1,37.68,72,4.85,76,1538015849
19,Barrow,US,39.51,-90.4,199.1559295654297,60.98,75,3.36,1,1538014500
20,Gimli,CA,50.63,-96.99,219,38.31,100,2.95,24,1538015604
21,Antalya,TR,36.9,30.69,55.11103820800781,69.8,46,9.17,0,1538013000
22,Iqaluit,CA,63.75,-68.52,28.18400001525879,32,100,12.75,40,1538013600
23,Ongandjera,NA,-17.88,15.07,1104.721801757812,64.05,38,9.78,0,1538015870
24,Erdenet,MN,49.03,104.04,1360.106689453125,40.56,79,2.73,44,1538015870
25,Kita,ML,13.04,-9.49,332.3945007324219,72.69,81,2.73,8,1538015870
26,Butaritari,KI,3.07,172.79,8.440905570983887,83.94,100,6.98,8,1538015866
27,Ostrovnoy,RU,68.05,39.51,19,39.57,97,9.78,92,1538015871
28,Georgetown,SH,-7.93,-14.42,1.622661471366882,75.21,100,17.6,56,1538015871
29,Kruisfontein,ZA,-34,24.73,240.0604400634766,54.06,93,4.63,44,1538015871
30,Kodiak,US,39.95,-94.76,292.7092895507812,53.06,77,3.36,1,1538013180
31,Rikitea,PF,-23.12,-134.97,10.88686656951904,70.89,100,21.52,88,1538015864
32,Kununurra,AU,-15.77,128.74,50.72711181640625,89.6,43,5.82,90,1538013600
33,Jamestown,SH,-15.94,-5.72,399,65.58,100,16.49,68,1538015872
34,Valparaiso,CL,-33.04,-71.63,40.44077301025391,53.6,93,3.18,90,1538013600
35,Cape Town,ZA,-33.93,18.42,26.87131690979004,57.2,93,23.04,75,1538013600
36,Namibe,AO,-15.19,12.15,5.84401798248291,65.13,100,7.31,12,1538015827
37,San Juan De Uraba,CO,8.76,-76.53,22.03557014465332,78.45,100,3.85,80,1538015873
38,Hilo,US,19.71,-155.08,16.21504974365234,86,67,11.41,75,1538013360
39,Leningradskiy,RU,69.38,178.42,7.491461753845215,40.92,95,15.82,56,1538015874
40,Villarrica,CL,-39.28,-72.23,230.7168121337891,41.91,96,2.73,92,1538015874
41,Saint George,BM,32.38,-64.68,16.84353828430176,77,69,11.41,75,1538013300
42,Saint-Pierre,RE,-21.34,55.48,22.9430980682373,69.8,52,8.05,0,1538013600
43,Ancud,CL,-41.87,-73.83,4.688848495483398,45.69,98,5.97,88,1538015875
44,Lebu,CL,-37.62,-73.65,183.1880493164062,53.7,96,6.64,92,1538015875
45,Fort Nelson,CA,58.81,-122.69,421.9190979003906,46.4,65,3.36,75,1538013600
46,Paamiut,GL,61.99,-49.67,4.694559574127197,40.11,96,38.41,92,1538015875
47,Celestun,MX,20.87,-90.4,0,82.41,100,16.26,24,1538015875
48,Mayya,RU,61.74,130.28,150.0873870849609,46.4,61,3.74,0,1538013600
49,Khatanga,RU,71.98,102.47,37.58133316040039,32.46,84,20.4,56,1538015876
50,Flinders,AU,-34.58,150.85,18.02219581604004,64.4,48,8.05,0,1538010000
51,Ambalavao,MG,-21.83,46.94,1010.153747558594,50.37,93,2.39,24,1538015876
52,Castro,CL,-42.48,-73.76,7.78806734085083,45.15,96,6.42,92,1538015824
53,Auki,SB,-8.77,160.7,40.97586822509766,76.92,100,16.15,92,1538015877
54,Beringovskiy,RU,63.05,179.32,29.9882984161377,45.78,96,25.21,92,1538015877
55,Puerto Ayora,EC,-0.74,-90.35,39.42396926879883,70.26,100,11.12,44,1538015836
56,Ushuaia,AR,-54.81,-68.31,0.5544959902763367,39.2,51,6.93,0,1538013600
57,Torbay,CA,47.66,-52.73,0,48.2,81,17.22,90,1538013600
