,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date
0,Kapaa,US,22.08,-159.32,,82.04,84,9.17,75,1538013360
1,Faanui,PF,-16.48,-151.75,,78.63,100,14.81,20,1538015865
2,Adrar,DZ,27.87,-0.29,,80.6,36,21.92,0,1538013600
3,Yellowknife,CA,62.45,-114.38,,30.2,54,16.11,90,1538013600
4,Albany,AU,-35.02,117.88,,57.21,75,8.21,32,1538015866
5,Nuuk,GL,64.17,-51.74,,33.8,100,3.36,92,1538013000
6,Punta Arenas,CL,-53.16,-70.91,,33.8,80,8.05,0,1538013600
7,Cockburn Town,TC,21.46,-71.14,,82.32,100,18.5,48,1538015866
8,Carnarvon,AU,-24.87,113.63,,70.71,73,18.72,0,1538015866
9,Ribeira Grande,PT,38.52,-28.7,,75.03,95,23.64,68,1538015867
10,Buala,SB,-8.15,159.59,,79.89,99,14.92,88,1538015867
11,Saskylakh,RU,71.97,114.09,,29.76,94,11.23,0,1538015867
12,Vestmannaeyjar,IS,63.44,-20.27,,40.83,100,8.99,44,1538015868
13,Tiarei,PF,-17.53,-149.33,,78.8,61,4.7,75,1538013600
14,Victoria,SC,-4.62,55.45,,78.8,78,14.99,75,1538013600
15,Upington,ZA,-28.46,21.24,,48.2,39,4.7,0,1538013600
16,Atuona,PF,-9.8,-139.03,,79.26,100,9.78,0,1538015823
17,Richards Bay,ZA,-28.77,32.06,,65.76,87,2.84,64,1538015869
18,Cherskiy,RU,68.75,161.3,,37.68,72,4.85,76,1538015849
19,Barrow,US,39.51,-90.4,,60.98,75,3.36,1,1538014500
20,Gimli,CA,50.63,-96.99,,38.31,100,2.95,24,1538015604
21,Antalya,TR,36.9,30.69,,69.8,46,9.17,0,1538013000
22,Iqaluit,CA,63.75,-68.52,,32,100,12.75,40,1538013600
23,Ongandjera,NA,-17.88,15.07,,64.05,38,9.78,0,1538015870
24,Erdenet,MN,49.03,104.04,,40.56,79,2.73,44,1538015870
25,Kita,ML,13.04,-9.49,,72.69,81,2.73,8,1538015870
26,Butaritari,KI,3.07,172.79,,83.94,100,6.98,8,1538015866
27,Ostrovnoy,RU,68.05,39.51,,39.57,97,9.78,92,1538015871
28,Georgetown,SH,-7.93,-14.42,,75.21,100,17.6,56,1538015871
29,Kruisfontein,ZA,-34,24.73,,54.06,93,4.63,44,1538015871
30,Kodiak,US,39.95,-94.76,,53.06,77,3.36,1,1538013180
